,year,selling_price,mileage,engine,max_power,torque,Max_Power_To_Age,Price_To_Age,Price_To_Torque,Price_To_Max_Power,Price_To_engine
0,2014,450000,23.4,1248.0,74.0,190.0,7.4,45000.0,2368.4210526315787,6081.081081081081,360.5769230769231
1,2014,370000,21.14,1498.0,103.52,250.0,10.352,37000.0,1480.0,3574.1885625965997,246.99599465954606
2,2017,440000,20.14,1197.0,81.86,113.75,11.6943,62857.142857142855,3868.131868131868,5375.0305399462495,367.5856307435255
3,2011,350000,23.59,1364.0,67.1,170.0,5.1615,26923.076923076922,2058.823529411765,5216.095380029807,256.59824046920824
4,2013,200000,20.0,1399.0,68.1,160.0,6.1909,18181.81818181818,1250.0,2936.8575624082237,142.9592566118656
5,2014,500000,19.01,1461.0,108.45,248.0,10.845,50000.0,2016.1290322580646,4610.419548178884,342.23134839151265
6,2005,92000,17.3,993.0,60.0,78.0,3.1579,4842.105263157895,1179.4871794871794,1533.3333333333333,92.64853977844915
7,2009,280000,19.3,1248.0,73.9,190.0,4.9267,18666.666666666668,1473.6842105263158,3788.9039242219214,224.35897435897436
8,2007,200000,18.890787401574805,1418.9650590551182,89.08584830216535,163.6975246062992,5.2403,11764.70588235294,1221.7655733097374,2245.0254873437484,140.94779763863883
9,2009,180000,18.9,1061.0,67.0,84.0,4.4667,12000.0,2142.8571428571427,2686.5671641791046,169.6512723845429
10,2016,400000,18.15,1198.0,82.0,115.0,10.25,50000.0,3478.2608695652175,4878.048780487805,333.889816360601
11,2016,778000,24.52,1248.0,88.5,200.0,11.0625,97250.0,3890.0,8790.9604519774,623.3974358974359
12,2016,680000,22.54,1396.0,88.73,219.7,11.0912,85000.0,3095.129722348657,7663.698861715316,487.10601719197706
13,2011,174000,21.0,1461.0,64.1,160.0,4.9308,13384.615384615385,1087.5,2714.508580343214,119.0965092402464
14,2017,950000,25.5,1498.0,98.6,200.0,14.0857,135714.2857142857,4750.0,9634.888438133874,634.1789052069425
15,2015,525000,26.59,1248.0,74.0,190.0,8.2222,58333.333333333336,2763.157894736842,7094.594594594595,420.6730769230769
16,2012,600000,21.5,1248.0,88.8,200.0,7.4,50000.0,3000.0,6756.756756756757,480.7692307692308
17,2018,500000,20.3,1199.0,83.81,114.0,13.9683,83333.33333333333,4385.964912280701,5965.875193890944,417.0141784820684
18,2016,575000,21.4,1197.0,83.1,115.0,10.3875,71875.0,5000.0,6919.374247894104,480.3675856307435
19,2017,275000,24.7,796.0,47.3,69.0,6.7571,39285.71428571428,3985.5072463768115,5813.9534883720935,345.47738693467335
20,2013,300000,18.2,1248.0,73.8,172.5,6.7091,27272.727272727272,1739.1304347826087,4065.040650406504,240.3846153846154
21,2009,220000,18.9,1061.0,67.0,84.0,4.4667,14666.666666666666,2619.0476190476193,3283.582089552239,207.35155513666353
22,2017,670000,24.3,1248.0,88.5,200.0,12.6429,95714.28571428571,3350.0,7570.6214689265535,536.8589743589744
23,2018,730000,18.6,1197.0,81.83,114.7,13.6383,121666.66666666667,6364.428945074106,8920.933642918246,609.8579782790309
24,2017,650000,24.3,1248.0,88.5,200.0,12.6429,92857.14285714286,3250.0,7344.632768361582,520.8333333333334
25,2019,366000,23.95,998.0,67.1,90.0,13.42,73200.0,4066.6666666666665,5454.545454545455,366.73346693386776
26,2016,150000,20.63,1198.0,67.0,104.0,8.375,18750.0,1442.3076923076924,2238.805970149254,125.20868113522538
27,2012,150000,16.1,796.0,37.0,59.0,3.0833,12500.0,2542.3728813559323,4054.054054054054,188.44221105527637
28,2018,925000,17.8,1497.0,117.3,145.0,19.55,154166.66666666666,6379.310344827586,7885.763000852515,617.9024716098864
29,2013,425000,16.8,1497.0,116.3,146.0,10.5727,38636.36363636364,2910.958904109589,3654.342218400688,283.90113560454245
30,2018,675000,18.5,1197.0,83.14,115.0,13.8567,112500.0,5869.565217391304,8118.835698821265,563.9097744360902
31,2018,819999,24.3,1248.0,88.5,200.0,14.75,136666.5,4099.995,9265.525423728814,657.0504807692307
32,2018,390000,23.95,998.0,67.05,90.0,11.175,65000.0,4333.333333333333,5816.554809843401,390.7815631262525
